Ativo_Independente,Ativo_Dependente,ADF-100,ADF-120,ADF-140,ADF-160,ADF-180,ADF-200,ADF-220,ADF-250,Total
B3SA3,BRDT3,-3.5718550637760753,-3.4408376264554494,-3.7068845492581795,-3.969762146636882,-3.891972045920561,-3.7310552179829335,-3.5888495728899197,-2.9662221025748883,8
B3SA3,BRML3,0,0,-3.0805170068121037,0,-2.982994807518009,-3.015169331057869,-4.043655612831809,-3.8658665012679125,5
B3SA3,EGIE3,0,-3.1134674058767615,-2.924393953627293,-3.299915966389845,-3.555512650923329,-3.8607408123838183,-6.257028685014691,-3.75891097160257,7
B3SA3,HYPE3,-4.036405193647308,-4.244045975185428,-4.08369256510209,-3.1510614672591313,0,-2.938246419966053,0,-3.2941991438609577,6
B3SA3,IRBR3,-3.0321601733911963,-3.4605825416721228,-3.9520102310441847,0,0,-3.1389496646228894,-3.118430789807258,-4.318900413898496,6
B3SA3,JBSS3,-3.74296020558533,-4.686576075979766,0,0,-2.899951188307461,-2.9024464502405065,-3.6058709825189204,-3.561725680831831,6
B3SA3,LREN3,0,0,0,-3.082306062647459,-3.8547593402863445,-3.156634041979001,-3.684326834948944,-3.167400842431343,5
B3SA3,MULT3,0,0,0,-2.9602592088284703,-3.633544677397876,-3.665513456992485,-4.274422055616866,-3.706397630410121,5
BBAS3,BBSE3,0,0,-3.1012164026896767,-3.38701573451298,-3.559754723157788,-3.800188575447832,-3.847073302572901,-4.213057607391097,6
BBAS3,BRDT3,0,0,0,-3.1873055185631736,-3.920520776093816,-3.440720994396459,-2.9702558076088796,-2.895631285788972,5
BBAS3,CPLE6,-4.741101564124354,-3.6035772364351093,-3.1174502476062393,0,-3.0603785341766034,-3.3617410829088166,-3.5864487915538485,0,6
BBAS3,CRFB3,-3.769815746261614,-3.957865113778824,-3.8053869619485803,-3.5358161144574445,-3.024978360190462,0,-2.988844109732749,0,6
BBAS3,CYRE3,-3.425368061554213,-3.102369651194276,-3.179129946879124,-4.104271321132097,0,-2.960870806825827,0,0,5
BBAS3,EGIE3,0,-3.0121326945266698,0,-3.340679171498305,-3.6597141622216207,-3.801159781323842,-4.116158476685716,-3.87778264977846,6
BBAS3,EZTC3,0,-3.2378530040206086,-3.6681073932619954,-3.6450078159485666,-4.035475842316396,-3.5647690862623653,-3.845266663933108,-3.7511242482495684,7
BBAS3,IGTA3,0,0,-3.103553891080517,-3.3378457467682328,-3.8460504256079675,-3.869706430829502,-5.396472947370937,-3.2455911707838503,6
BBAS3,IRBR3,-3.1651362178718663,-3.3099773938218235,-3.402982715798478,0,0,-3.157918281203796,-2.9390582229173834,0,5
BBAS3,JBSS3,0,0,0,-3.1004325838097206,-3.558733438243342,-2.9920716922164665,-3.9509112965816398,-3.127242466633549,5
BBAS3,LREN3,0,0,0,-3.1259053191512414,-3.8766020357711155,-3.5715002206717656,-3.5691766255400363,-4.035041323026562,5
BBAS3,MRVE3,0,0,-3.167624916762085,-3.0473176124227432,-3.092771978707107,-3.370180969729421,-3.568053731305672,0,5
BBAS3,MULT3,0,-2.976226435288833,-3.3803689465923026,-3.578828368460316,-4.079473281585672,-4.273000578972395,-4.785684240005518,0,6
BBDC3,BBSE3,-3.3302646368735433,-3.2477565766998344,-3.2331978850496044,-3.3421550973446927,-3.7949947388940646,-4.102836267118963,-4.779402069739849,-5.137398771517097,8
BBDC3,CPFE3,0,-3.457492146729678,-3.210652832024201,-3.491054504239658,-3.4593955345349663,-4.1826799593316215,0,-2.9978975208459375,6
BBDC3,CPLE6,-3.7288772426317855,-3.6538905893701,-3.5914292763410955,-3.3631913955690558,-3.6977792198432446,-3.8206516030516733,-3.3765857399758166,0,7
BBDC3,CRFB3,-4.1871471116160865,-4.219052290740625,-4.039153832720555,-3.7345816471581674,-3.0011874992877066,0,-2.985952906568016,0,6
BBDC3,CYRE3,-3.422399651787019,-3.6431509569073044,-4.058155850735718,-4.391396603421475,-3.099333224986114,0,0,0,5
BBDC3,EGIE3,-3.1183003139593155,-3.383891870257071,-3.055867590440321,-3.59473748964982,-4.114228859344459,-3.843783409891379,-3.4000007375928836,-3.36660231404987,8
BBDC3,ENBR3,0,-3.289124527540522,0,0,-2.9467235847231934,-2.9584025674736796,-3.7389526652709213,-4.186000677302999,5
BBDC3,ENGI11,0,-3.6416978359623595,-2.8836885757332764,-2.964794514521616,0,-3.4713604540599063,-3.4205338486679784,-3.594165247006919,6
BBDC3,GOLL4,0,0,0,-3.4082996432118344,-3.2474411260283964,-3.550120186725366,-4.059062363986449,-3.521039712128773,5
BBDC3,IGTA3,0,0,-2.9221196155546836,-3.136332876584722,-3.7175845597939055,-3.6651638057802147,-4.403972505518263,0,5
BBDC3,IRBR3,-3.1545430612719136,-3.254680316422495,-3.3340928450531173,0,0,-3.1640226187953555,-2.9671544515347272,0,5
BBDC3,ITSA4,-3.835388326879609,-3.5178075924507386,0,0,0,-4.152143286372277,-3.3889866164584306,-4.559531784820022,5
BBDC3,JBSS3,0,0,0,-3.056974021716779,-3.536004731755709,-3.1604452959942866,-3.473287668360121,-3.4470896133868703,5
BBDC3,LREN3,0,0,0,-3.075247843758344,-3.951414122983856,-3.455536220996123,-3.2042388391392786,-3.2506428446196907,5
BBDC3,MRVE3,-2.8912201336642904,-3.2718667043719143,-3.7373311418171324,-3.3382936482123506,-2.90429448257641,-3.7392303621759164,-3.0035401326163895,0,7
BBDC3,MULT3,0,0,-3.131055156584805,-3.3240486634342488,-3.9272563185723794,-4.126853878821945,-4.455061501629485,0,5
BBDC4,ABEV3,0,0,-3.1550768063896917,-2.9428000622437103,-3.021908634583268,-4.01563775712129,-3.0145815653028487,0,5
BBDC4,BBSE3,-3.2477387657319507,-3.1368254885812057,-2.9991207916429734,-3.15532538250978,-3.6377145151878256,-3.79670459307768,-4.601175375493014,-4.787379161233742,8
BBDC4,BRAP4,-2.9856828884336255,-3.3413513905267256,-2.900994717536316,0,0,-2.8933808509967305,-3.1821767189016383,0,5
BBDC4,CMIG4,0,0,0,-3.214784119588074,-3.1110341719975745,-3.8126269813127864,-4.181614834498752,-3.319205956840074,5
BBDC4,CPFE3,-3.020006627961108,-3.7276906344436807,-3.3333224583648438,-3.5806109279027885,-2.882498295507747,-4.213488793134332,-2.8946767484174667,-2.9980644817850464,8
BBDC4,CPLE6,-3.472121155325537,-3.5756882535784578,-3.796969124305767,-3.511351519121614,-3.8996992487829187,-3.849212839502235,-3.2998659898541383,-2.9346391170950223,8
BBDC4,CRFB3,-4.308248616993553,-4.247542394459002,-4.125052400811924,-3.836479050107551,-3.0916813524955598,0,-2.9967784310320007,0,6
BBDC4,CYRE3,-3.3636283399077014,-3.7276365448984867,-4.0658840742366555,-4.287777346183674,-3.1713288657720686,0,0,0,5
BBDC4,EGIE3,-3.2287592710385886,-3.434062674035368,-3.0285267197795642,-3.538788557487649,-4.099378823748762,-3.6911940415334263,-3.226825891754994,-3.5298344757758606,8
BBDC4,ENBR3,0,-3.478183739100109,0,0,-3.404037117038884,-3.148702065802778,-3.6572248175275814,-4.11424705723475,5
BBDC4,ENGI11,-3.30978686740204,-3.8219477311347574,0,-2.95761822612601,0,-3.4829886879097933,-3.215258783052844,-3.351037110074538,6
BBDC4,GOLL4,0,0,0,-3.5251426401414063,-3.306497587021487,-3.345718309017122,-4.2380157527328794,-3.2240915132210275,5
BBDC4,IRBR3,-3.1528435017697136,-3.251104702294285,-3.3051618469539408,0,0,-3.171315352816267,-2.9963141269484734,0,5
BBDC4,JBSS3,0,0,0,-3.0907166734477856,-3.5358133633519335,-3.2300003239107022,-4.220245935825373,-3.4615615685492376,5
BBDC4,MRVE3,-3.106151713360727,-3.444875358593427,-3.7557223319787814,-3.3152166013201976,-3.7188784496275065,-3.5836455728663683,-3.0449289914520183,0,7
BBDC4,MULT3,0,0,-3.0667548017101307,-3.2686419020090645,-3.9353111423258746,-4.0611173826006945,-4.4006482097973265,-2.9011810605142,6
BBSE3,BBAS3,0,0,-3.129373365127878,-3.3567848021643862,-3.6548442736692035,-3.891731328570735,-4.264598345917152,-4.174876096405716,6
