Ativo_Independente,Ativo_Dependente,CoefAng -100p,Inters -100p,med_res -100p,desv_res -100p,Adf-Stats-100p,CoefAng -120p,Inters -120p,med_res -120p,desv_res -120p,Adf-Stats-120p,CoefAng -140p,Inters -140p,med_res -140p,desv_res -140p,Adf-Stats-140p,CoefAng -160p,Inters -160p,med_res -160p,desv_res -160p,Adf-Stats-160p,CoefAng -180p,Inters -180p,med_res -180p,desv_res -180p,Adf-Stats-180p,CoefAng -200p,Inters -200p,med_res -200p,desv_res -200p,Adf-Stats-200p,CoefAng -220p,Inters -220p,med_res -220p,desv_res -220p,Adf-Stats-220p,CoefAng -250p,Inters -250p,med_res -250p,desv_res -250p,Adf-Stats-250p
EQTL3,BRDT3,0.9288323269891403,0.778178204446192,-1.9184653865522706e-15,0.728680557709843,95,0,0,0,0,<90,0.4721146298530715,10.637243679264593,-3.806478941571965e-16,0.8202011674573657,95,0.4402885023013727,11.355357410875946,-7.993605777301127e-16,0.7987283583651211,95,0.37027262758848933,13.013826914296333,-1.3816108750890837e-15,0.8705811773749034,99,0.5244679498547016,9.490972727450472,1.2967404927621828e-15,0.9437632032026352,99,0,0,0,0,<90,0.9244389341676085,1.073263627137024,2.6147972675971686e-15,1.6941542112505723,95
EQTL3,BRML3,0,0,0,0,<90,0,0,0,0,<90,0.3062135537759207,2.806789382249886,7.612957883143931e-17,0.6030141468063114,95,0.28339166254342674,3.427248549687185,-1.3322676295501878e-16,0.6405791777900427,95,0.1370653549502792,6.832391070497786,2.1711028037114172e-16,0.7285343096050422,95,0.14842047976958683,6.5856287928457355,-1.0658141036401502e-16,0.7383159443521561,95,0.12301219943600573,7.165207472945644,1.9378438248002731e-16,0.7604101287359469,99,0.4723106406381574,0.3880185413309434,0.0,2.183250722283085,95
EQTL3,CIEL3,0.2135366016002687,-0.8654133210896,-3.1086244689504386e-17,0.21935436426215726,95,0.32472268844661406,-3.253730106785249,3.182639337258782e-16,0.2620813706673936,95,0.3767418259275836,-4.378887017428372,-6.344131569286609e-16,0.2789429456762614,95,0.32499127910494247,-3.106723311605072,2.2204460492503132e-17,0.4286479726049065,95,0,0,0,0,<90,0,0,0,0,<90,0.08472218530791485,2.407578966884223,-3.8756876496005463e-16,0.5317715901097988,95,0,0,0,0,<90
EQTL3,FLRY3,0.27662239750683965,21.1807943269645,-1.0658141036401502e-16,0.7813911739645675,95,-0.19908544468548625,31.39821566207307,7.697546304067752e-16,1.082647587130972,95,-0.39646415191864914,35.68025284582106,1.7763568394002505e-15,1.0944658216235743,95,-0.3308637668624764,33.96284435096512,8.881784197001253e-17,1.2259627080274627,95,0.3012070085121412,19.44526897943713,0.0,1.6364041409822963,95,0,0,0,0,<90,0,0,0,0,<90,0,0,0,0,<90
EQTL3,HGTX3,0.22363252020899724,12.58622959651138,-2.842170943040401e-15,0.7193470168183455,95,0.03961560164181139,16.54621750734207,-1.3618735768735254e-15,1.0238402694015847,99,-0.40921141042539433,26.31030610239648,1.0658141036401502e-15,1.2085250635933713,95,-0.3153993122096384,23.853883895180267,-3.9968028886505636e-16,1.4703004957018289,95,0,0,0,0,<90,0,0,0,0,<90,0,0,0,0,<90,0.7493051700209266,0.41909072055292995,1.3073986337985843e-15,2.316218121814633,95
EQTL3,IRBR3,0,0,0,0,<90,0.15198104930802223,3.714345956537199,5.921189464667501e-16,0.5967657668714129,95,0.23406431148364856,1.9509740168402843,-1.0150610510858574e-16,0.6289336245597786,95,0,0,0,0,<90,0,0,0,0,<90,-0.027241620710272838,8.27562800912934,1.4210854715202004e-16,1.2098990318426497,95,-0.049863961122790394,8.79395877198347,-1.9378438248002731e-16,1.2090140950353432,95,1.0039003352100988,-11.787483656118281,1.8189894035458565e-15,6.523971856315443,99
EQTL3,LREN3,0,0,0,0,<90,0,0,0,0,<90,0,0,0,0,<90,0.09142492799938727,40.46138155115824,-4.440892098500626e-16,2.2669165716077684,95,0.4378923440564071,32.58236475954031,5.447494307494102e-15,2.4063462965947844,99,0.8412608836155167,23.40174008524746,-9.237055564881303e-16,2.564523239368205,95,1.0683045557567927,18.263871149213593,2.583791766400364e-16,2.6328331082797565,99,1.5064331644547664,9.808869981732933,1.1368683772161603e-16,3.7013789730195037,99
EQTL3,MULT3,0,0,0,0,<90,0,0,0,0,<90,0,0,0,0,<90,0.23650856810038698,16.388085983671644,-3.0198066269804257e-15,1.339059833024553,95,0.22483788641836905,16.69729804401428,1.0263395072090335e-15,1.33115301487091,99,0.32860103237968397,14.347019372094934,-2.3092638912203257e-16,1.3532558085045385,99,0.3591524757639035,13.652595493123188,8.397323240801184e-16,1.3759815263484427,99,0.8262731260486379,4.5617642076889915,1.4779288903810083e-15,3.020870924201047,95
EQTL3,RAIL3,0.9236351479172564,-0.5603731885684553,-2.4513724383723455e-15,0.654565475884662,99,1.1538880235528746,-5.501631350975963,3.582319626123838e-15,0.7021288789605201,99,1.08377399595444,-3.9447727755677278,5.329070518200751e-16,0.7455677022134264,99,0.9359883947302355,-0.2556117793322734,0.0,1.2607372438717301,99,0,0,0,0,<90,0,0,0,0,<90,0.32621045282573985,13.824779283311852,1.2918958832001822e-15,1.5622128278632383,95,0,0,0,0,<90
EZTC3,BRML3,0.2139057194566287,1.1131296480583117,-8.881784197001253e-17,0.34262530810677266,95,0.20260007053724904,1.612631615884209,4.588921835117314e-16,0.4066706483654409,99,0.21892407600834604,1.0904364747809314,-3.1720657846433045e-16,0.5258108164621288,95,0.2189211485265071,1.1695613429313667,2.2204460492503132e-17,0.5506415267468597,95,0,0,0,0,<90,0.09935166937940161,6.045535727532917,2.486899575160351e-16,0.6788335646453391,95,0.08731866548664043,6.540427883381255,3.552713678800501e-16,0.700731981855805,99,0,0,0,0,<90
EZTC3,ELET3,0.6533363972841614,5.85146238774124,7.105427357601002e-16,1.2993795483709203,95,0.6452137596896164,6.561132873394243,3.848773152033876e-16,1.6458502645126616,95,0.6854076454192977,5.354211276372084,-1.2180732613030289e-15,1.8836049105288903,95,0.6407756109844824,6.64193251903253,-2.6645352591003757e-15,2.2061805698501846,95,0.7925480251731395,0.3904462021805948,-1.934255225124717e-15,2.2740419638020946,95,0.896011749234719,-3.804116604936546,-2.469136006766348e-15,2.339993218380403,95,0.9792493449965516,-7.28478755484619,-3.2297397080004555e-16,2.8027704462211904,99,0,0,0,0,<90
EZTC3,IGTA3,0.8626801666012659,0.8095805866855628,7.069900220812997e-15,1.2471658762295172,95,0.8377338161203824,1.742484656496309,-2.6645352591003756e-16,1.2532686341323485,99,0.8239481842753704,2.210319017648338,8.577265881675495e-15,1.2516439255102223,99,0.7605390725479181,4.6769139846065215,-3.4861002973229914e-15,1.3002381153605496,99,0.5127805425125828,14.72652225764659,-3.454027187722709e-15,1.5369914979990258,99,0.4543287493514707,17.09730831366708,-2.6645352591003757e-15,1.5694192085460394,99,0.45136372812479403,17.23884348246847,-3.8756876496005463e-16,1.5674331653848845,99,0,0,0,0,<90
EZTC3,IRBR3,0.04557766271335338,5.226710348253458,4.440892098500626e-16,0.6179067321769353,95,0.039788325066566876,5.534576962797857,8.067620645609471e-16,0.6121807046390492,95,0.05911493158651174,4.9098473938051725,-1.2688263138573217e-16,0.6875932195989406,95,0,0,0,0,<90,0,0,0,0,<90,-0.0032912772099237893,7.80773327644985,1.4210854715202004e-16,1.2111700906632017,95,-0.014165601441645937,8.257672064345417,-2.583791766400364e-16,1.213260914646389,95,0.7294914561444702,-18.122162907252168,3.4106051316484808e-15,5.4209203943269015,95
EZTC3,LREN3,0,0,0,0,<90,0,0,0,0,<90,0.6387953725080285,17.37787213364378,1.5225915766287861e-16,1.8825903253299288,95,0.5852052891645511,19.381905335779194,-1.1546319456101628e-15,1.851589042515714,95,0.54932389159019,20.92154115956693,5.921189464667501e-16,1.8463694838078988,99,0.5933232140531303,19.194983497404092,-3.694822225952521e-15,1.7962307403817377,99,0.6576748324466422,16.58109944044242,-1.9378438248002731e-16,1.9207641742884791,99,0.8019388377425443,11.56121505074239,2.3874235921539368e-15,2.166631499451484,95
EZTC3,MULT3,0.5354036258228664,0.7382876619011043,-2.1316282072803005e-16,0.7899284523960206,99,0.5149057619192123,1.5375171757056343,2.575717417130363e-15,0.8117086881480499,99,0.5041890992067306,1.8856042301077522,8.374253671458323e-16,0.833245158379666,99,0.46567974131751444,3.312466743232573,-1.2212453270876722e-15,0.8913791672400544,99,0.3000410078162511,10.009700750814943,1.1250259982868252e-15,1.0211016183224075,99,0.25965252887055357,11.645326973139717,-1.1546319456101628e-15,1.0334301079548707,99,0.2638681140229577,11.496411482906902,1.4372341700602026e-15,1.0206134534094877,99,0,0,0,0,<90
